Incident Date,Complaint ID,Date Received,District,Classification,Summary
9/28/21,22-0129,2022-03-30 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-28-21, while in the confines of the 25th District, they reported their vehicle stolen. A month later, the complainant arrived at the district to inquire about their vehicle and spoke to an officer who provided them with a report number that was unrelated to their stolen vehicle. The complainant states that months later, they discovered that their vehicle was recovered on the same day that they reported it as stolen but were never notified by police."
3/1/22,22-0135,2022-04-05 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-1-22, while in the confines of the 25th District, their stolen vehicle was found and they were not notified. The complainant states that they realized their vehicle had been found, when they received a letter from an auto shop on 3-28-22. The letter said that the complainant¿s vehicle was sitting at the lot as an abandoned vehicle and for them to have their vehicle returned to them; it would cost them $615.00."
5/11/21,21-0235,2021-05-19 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"The complainant stated on 5-11-21 at 5:28PM, their motorcycle was improperly searched and damaged by unknown officers who violated Police Department policies."
8/28/21,21-0418,2021-09-01 04:00:00+00,25,LACK OF SERVICE,"According to the complainant, on 8-28-21 at 7:00 PM, while in the confines of the 25th District, they attempted to report an assault to police. When the complainant attempted to explain what happened, they were met with hostile and doubting attitudes. The complainant states that they tried to convince them that what happened was only morally wrong. The complainant also states they did not take their name or the name of their assailant and basically told them that what happened was their fault in the first place."
4/23/21,21-0547,2021-11-18 05:00:00+00,25,LACK OF SERVICE,"According to the complainant, on 4-23-21 at 3:30 AM, while in the confines of the 25th District, they called 911 for assistance and no officers responded. The complainant states that they have called 911 on numerous occasions and feel that officers are disregarding their calls. The complainant further states that when an officer does respond, they do not take their reports and side with their family members instead. The complainant believes that the officers are working with their family against them."
5/5/21,21-0246,2021-05-19 04:00:00+00,25,LACK OF SERVICE,"According to the complainant, on 5-5-21 at 8:45 PM, while in the confines of the 25th District, they did not receive proper service from an officer. The complainant and a family member went to the 25th District to make a report. The complainant stated the officer was rude and wrote the report wrong."
3/30/21,21-0255,2021-05-25 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-30-21, while in the confines of the 25th District, an officer assigned to External Services Unit violated departmental policies. An officer seized property from their home without leaving any paperwork to confirm that the items were taken. The complainant also states that a warrant was not left at their residence."
9/4/21,21-0430,2021-09-07 04:00:00+00,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 9-4-21 at 4:00 PM, while in the confines of the 25th District, they were treated unprofessionally and did not receive proper service from a sergeant assigned to the 25th District. The complainant arrived at the district and spoke to the sergeant in regards to a prior domestic incident. The complainant told the sergeant that they were assaulted by their significant other. The sergeant questioned the assault and said that they should have kicked their *ss. The sergeant said that if it were up to them, they would have found out that they were no punching bag. The sergeant retrieved the report, threw it at the window and refused to allow them to file a report."
,22-0497,2022-10-26 04:00:00+00,25,LACK OF SERVICE,"According to the complainant, in November of 2021, while in the confines of the 25th District, they did not receive proper service from a detective assigned to the Special Victims Unit. They reported a sexual assault on their child. The detective was assigned and failed to properly investigate the incident. The detective repeatedly stated to the complainant that their child was lying. The complainant also stated that it was difficult to contact the detective throughout the investigation."
10/25/22,22-0504,2022-10-27 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-25-22 at 9:00 PM, while in the confines of the 25th District, they were improperly ticketed by police."
7/12/22,22-0330,2022-07-21 04:00:00+00,25,VERBAL ABUSE,"According to the complainant, on 7-12-22 at 7:00 PM, while in the confines of the 25th District, they were pulled over by police. The complainant states that they were not issued a ticket and the officers reminded them to drive carefully. The complainant states that before leaving the officers laughed and said, ¿Do you want to know the real reason we wanted to give a ticket? The real reason we wanted to give you a ticket was because of your political bumper sticker.¿"
7/25/22,22-0335,2022-07-26 04:00:00+00,25,VERBAL ABUSE,"According to the complainant, on 7-25-22 at 8:10 AM, while in the confines of the 6th District, they were verbally abused by an unknown 911 call taker. They called 911 after they were involved in an auto accident. The complainant told the operator that they needed the police because the other driver was yelling and threatening them. The complainant states that the operator was irate and screaming at them."
8/3/22,22-0350,2022-08-08 04:00:00+00,25,VERBAL ABUSE,"According to the complainant, on 8-3-22 at 2:15 PM, while in the confines of the 25th District, they were at the district to serve a protection from abuse order. The complainant states that they were approached by their ex-significant other¿s family member, an officer assigned to that district. The complainant states that the officer questioned them about their relationship with the significant other, called them a child and told them to step up as a parent. The complainant felt disrespected and degraded by the remarks the officer made to them."
7/23/22,22-0356,2022-08-11 04:00:00+00,25,LACK OF SERVICE,"According to the complainant, on 7-23-22 at 6:30 PM, while within the confines of the 25th District, they were involved in a vehicle accident and called 911 four times. The complainant states that they waited for hours, during that time, they were harassed by the other drivers family and friends who attempted to intimidate them into taking their vehicle to their body shop. The complainant states police never showed up and that they never knew that they could file their report at the police district."
,22-0362,2022-08-16 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, their client is a complaining witness against an individual, who has threatened the complainant¿s client on numerous occasions, referencing their relationship with an officer. The complainant states their client believes that the officer is providing said individual information that would normally only be available to law enforcement."
8/17/22,22-0380,2022-08-23 04:00:00+00,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-17-22 at 11:50 PM, while in the confines of the 25th District, they were treated unprofessionally by a 25th District officer. While at the hospital, the officer became engaged in a heated exchange while their supervisor watched. The officer became argumentative and screamed at them."
8/28/22,22-0401,2022-09-06 04:00:00+00,25,LACK OF SERVICE,"According to the complainant, on 8-28-22 at 12:30 PM, while in the confines of the 15th District, they did not receive proper service from unknown officers. Their family member was struck by a vehicle on the highway. The complainant arrived on the scene, spoke to an officer who told them that it was not their district and they could file a report at the hospital. The complainant transported their family member to the hospital. The complainant states they called 911 twice from the hospital to file a report, but no one came. The complainant went to the district to file a report, but was told that their family member would need to file the report."
9/23/22,22-0443,2022-09-26 04:00:00+00,25,VERBAL ABUSE,"According to the complainant, on 9-23-22 at 11:15 AM, while in the confines of the 25th District, they were verbally abused by an officer. The complainant states the officer said, ¿I don¿t care,¿ about a person in a vehicle, with a handicap license plate, double parked in order to let a handicap person out of the car when there was no parking in the area."
,22-0246,2022-06-07 04:00:00+00,25,HARASSMENT,"According to the complainant, for the past 8 months, while in the confines of the 25th District, they have been harassed by an officer. The complainant states that they argued with the officer. The complainant states that the officer accused them of slapping them. The complainant states that this is a lie and that there are cameras there to prove it."
5/15/22,22-0249,2022-06-09 04:00:00+00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-15-22 at 5:00 PM, an individual was assaulted while in the confines of the 26th District. The victim of the assault reported the incident to police. The complainant states the detective showed the victim a photo of the complainant, which resulted in the complainant¿s arrest without any further investigation. The complainant reported they were wrongfully arrested because the detective misspelled the last name of the perpetrator, resulting in the complainant¿s arrest instead of the right person with a similar name."
9/12/22,22-0424,2022-09-16 04:00:00+00,25,PHYSICAL ABUSE,"According to the complainant, on 9-12-22 at 3:44 PM, while in the confines of the 25th District, they stopped their truck to talk to a friend, when an officer approached them. The complainant states that the officer said that they were lucky that they had their f**king kids in the car. The complainant stepped out of their vehicle and asked the officer if they just threatened them. The complainant states that the officer said, ¿You heard what the f**k I said¿ and they asked for a supervisor. The complainant states that as they were walking back towards their truck, an officer grabbed their arm and they began tussling. The complainant states that two other officers came over and began tussling with them as well. The complainant was struck on the right side in the ribs."
4/13/22,22-0263,2022-06-21 04:00:00+00,25,LACK OF SERVICE,"According to the complainant, on 4-13-22 at 3:00 PM, while in the confines of the Airport District, their vehicle was stolen along with two other vehicles from a parking lot and reported to police. The complainant states that on 4-21-22, they inquired with a detective about their vehicle and was informed that there were no updates and little chance of their vehicle being recovered. The week of 6-10-22, the complainant received a letter from an ADA in another jurisdiction about an upcoming trial for the suspect who had stolen their vehicle. The complainant states that they then discovered that their vehicle had been recovered and an offender arrested on 4-13-22. The complainant states they were never notified about the recovery of their vehicle."
8/18/22,22-0453,2022-10-05 04:00:00+00,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-18-22 at 2:30 PM, while in the confines of the 25th District, they did not receive proper service from detectives assigned to the East Detective Division and an unknown plainclothes officer acted unprofessionally. They made a statement about violations of a Protection from Abuse Order to a detective. The detective said that they would issue 2 warrants. On 8-29-22, the complainant contacted the detective to inform them of more violations. The complainant states that the detective basically called them a liar and they never heard from them again. The complainant called for a supervisor who stated that they would reassign the case to a new detective and that someone would reach out to them. The complainant states that they still have not heard from anyone. On 9-26-22, while at court, the complainant overheard a plainclothes officer outside of the courtroom talking about their case and calling them names."
9/24/22,22-0470,2022-10-14 04:00:00+00,25,PHYSICAL ABUSE,"According to the complainant, on 9-24-22 at 8:20 PM, while in the confines of the 25th District, they were stopped by police. The complainant states that officers used excessive force on them and injured their wrist. The complainant states that they received medical treatment for a sprained wrist."
6/12/22,22-0292,2022-07-01 04:00:00+00,25,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-12-22 at 4:00 AM, while in the confines in the 25th District, they were assaulted and interviewed by a detective. The complainant states that the detective has refused to answer their calls or to help them with their case. The complainant went to the Special Victims Unit to speak to the assigned detective but they were unavailable and so they spoke to another detective, who told them to stop coming up there. The detective¿s supervisor had to stop that detective from screaming at the complainant. The complainant states that both detectives have repeatedly asked them if their spouse was aware that they had been raped. The complainant believes they are not being helped by detectives due to their sexual orientation."
9/29/22,22-0489,2022-10-25 04:00:00+00,25,PHYSICAL ABUSE,"According to the complainant, on 9-29-22 at 5:40 PM, while in the confines of the 25th District, officers arrived while they were in a verbal dispute with a family member. The complainant states that when they attempted to leave, one of the officers grabbed them and removed their firearm. The complainant states that the officer continued to grab them, even after they asked them not to touch them. The complainant requested a supervisor. The complainant states the officer had their partner handcuff them, while they pointed a Taser at them. The complainant was placed in the back of a patrol car with no explanation why. The complainant states that the officer said that their gun was the only one allowed in the home and that they were going to get their license to carry taken away. When a supervisor arrived, the officer gave their version of what happened, which the complainant states was untrue and that they have video to prove it. The complainant was later taken out of the patrol car, the cuffs were removed, and released."
,17-0048,2017-02-20 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, since 2001, they have not received proper service from unknown 26th District officers."
2/13/17,17-0096,2017-03-08 05:00:00+00,26,HARASSMENT,"According to the complainant, on 2-13-17, a commander misused their authority as a police officer. This incident occurred in the confines of the 26th District."
,17-0122,2017-03-20 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, sometime in the summer months of 2011, unknown officers did not follow proper police procedure. This incident occurred in the confines of the 26th District."
,20-0169,2020-04-20 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 26th District."
5/4/17,17-0229,2017-05-09 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 5-4-17 at 9:00pm, they did not receive proper service from unidentified police personnel. This incident occurred in the confines of the 26th District."
4/18/17,17-0230,2017-05-11 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, since 4-18-17, they have not received proper service from officers and a sergeant assigned to the 26th District."
4/28/17,17-0250,2017-05-23 04:00:00+00,26,VERBAL ABUSE,"According to the complainant, on 4-28-17 at 10:18am, they were harassed by a sergeant assigned to the 26th District."
5/28/17,17-0316,2017-06-28 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 5-28-17 at 5:40pm, they did not receive proper service from officers assigned to the 26th District."
1/24/17,17-0348,2017-07-05 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 1-24-17 at 5:30pm, they did not receive proper service from an officer assigned to the 26th District."
10/23/17,17-0542,2017-10-26 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 10-23-17 at 7:30am, they were treated unprofessionally by two unknown dispatchers assigned to Police Radio."
11/10/17,17-0582,2017-11-20 05:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-10-17 at 4:45pm, they were verbally abused by an officer assigned to the 26th District."
12/12/17,17-0619,2017-12-14 05:00:00+00,26,PHYSICAL ABUSE,"According to the complainant, on 12-12-17 at 10:00am, they were physically and verbally abused by an officer assigned to the 26th District."
12/29/17,17-0652,2017-12-31 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 12-29-17 at 7:53am, they did not receive proper service from officers assigned to the 26th District."
12/24/17,18-0004,2018-01-10 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 12-24-17 at 9:00pm, they did not receive proper service from an officer assigned to the 26th District."
2/15/18,18-0101,2018-03-13 04:00:00+00,26,VERBAL ABUSE,"According to the complainant, on 2-15-18 at 7:15pm, they were verbally abused by an officer assigned to Highway Patrol."
4/7/18,18-0175,2018-04-10 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-7-18 at 1:00pm, a sergeant assigned to the 26th District abused their power as a police officer and did not follow proper police procedure."
2/16/18,18-0247,2018-05-31 04:00:00+00,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-16-18, they were treated unprofessionally by an officer assigned to the 26th District and a detective assigned to East Detective Division."
5/30/18,18-0259,2018-06-13 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 5-30-18 at 4:20pm, they did not receive proper service from officers assigned to the 26th District."
5/30/18,18-0261,2018-06-07 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 5-30-18, an officer and an lieutenant assigned to the 26th District did not provide them with proper service."
6/15/18,18-0294,2018-06-21 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 6-15-18 at 2:00pm, they did not receive proper service from officers assigned to the 26th District."
3/16/18,18-0360,2018-07-27 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-16-18, they did not receive proper service from officers assigned to the 26th District."
10/23/19,19-0566,2019-10-31 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-23-19 at 6:00 PM, unknown officers violated departmental policy within the confines of the 26th District."
10/29/19,19-0571,2019-11-01 04:00:00+00,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-29-19 at 6:50 PM, they were treated unprofessionally by officers while in the confines of the 26th District."
1/31/21,21-0049,2021-02-08 05:00:00+00,26,PHYSICAL ABUSE,"According to the complainant, on 1-31-21 at 10:00 AM, they arrived at a police district to speak to someone about an earlier altercation. The complainant states they had a heated exchange with an officer, after the officer refused to provide their name and badge number. The complainant also states that an officer made an inappropriate comment and threatened them. The complainant states that when the officer got in their face, other officers had to physically hold the officer back. When the complainant attempted to leave, a sergeant blocked their path. The complainant states that when they told the sergeant to get out of the way, the sergeant pushed them, which caused the complainant to fall then scream in pain. After the complainant walked out of the door towards their car, the sergeant placed them over the trunk and handcuffed them. The complainant also states that the sergeant berated them, while in the patrol car."
,20-0196,2020-05-11 04:00:00+00,26,DOMESTIC,"According to the complainant, on several occasions, they were physically abused and subjected to abuse of authority by a sergeant assigned to the 26th District."
8/6/20,20-0440,2020-08-21 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-6-20 at 6:30 AM, an officer violated the motor vehicle code and violated departmental policies while in the confines of the 26th District."
6/1/20,20-0250,2020-06-08 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"The complainant alleged that on Monday, 6-1-20 between 3:00PM and 8:30PM, they observed numerous acts of misconduct by unknown police officers during the protest in and around the 26th."
12/8/19,20-0251,2020-06-08 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 12-8-19, they did not receive proper service from an officer assigned to the 22nd District."
6/2/20,20-0256,2020-06-10 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-2-20 at 6:45 PM, departmental policies were violated by an officer assigned to the Highway Patrol Unit."
5/27/20,20-0294,2020-06-16 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 5-27-20, they did not receive proper service from a detective assigned to the East Detective Division."
9/22/20,20-0490,2020-09-23 04:00:00+00,26,VERBAL ABUSE,"According to the complainant, on 9-22-20 at 10:55 AM, they were treated unprofessionally and departmental policies were violated by an officer assigned to the Traffic Unit while in the confines of the 26th District."
9/23/20,20-0495,2020-09-28 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 9-23-20 at 10:45 AM, they did not receive proper service from an officer while in the confines of the 26th District."
3/9/21,21-0109,2021-03-10 05:00:00+00,26,HARASSMENT,"While in the confines of the 26th District, on 3-9-21 at 10:05 AM, the complainant noticed a sergeant standing in line, on the phone, and put out a hand to shake. The complainant said what¿s up and the sergeant responded, ¿Let me call you back, after I f**k this loud mouth up.¿ The sergeant repeatedly tried to antagonize the complainant into fighting."
10/10/20,20-0540,2020-10-16 04:00:00+00,26,VERBAL ABUSE,"According to the complainant, on 10-10-20 at 4:55 PM, they were verbally abused by a supervisor and did not receive proper service by a detective and an officer while in the confines of the 26th District."
3/10/21,21-0114,2021-03-15 04:00:00+00,26,UNPROFESSIONAL CONDUCT,"The complainant states they were treated unprofessionally and did not receive proper service from an officer while in the confines of the 26th District. On 3-10-21 at 9:00 PM, they yelled at their neighbor, who is known to be a drug dealer and a problem to the neighborhood, to get off of their steps. At that time, an officer was on location. The officer yelled at the complainant not to speak to their neighbor in that manner. The complainant states that they were disrespected and targeted by the officer."
10/22/20,20-0558,2020-10-27 04:00:00+00,26,LACK OF SERVICE,"According to the complainants, on 10-22-20 at 2:25 PM, they did not receive proper service from an officer assigned to the 26th District."
7/14/18,18-0375,2018-08-02 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 7-14-18 at 5:30pm, an officer assigned to the 26th District failed to investigate and complete an accident investigation."
6/3/19,19-0276,2019-06-10 04:00:00+00,26,CRIMINAL ALLEGATION,"According to the complainants, on 6-3-19, they are missing United States Currency while they were within the confines of the 26th District."
6/30/19,19-0320,2019-07-03 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-30-19 at 12:00 AM, they witnessed an officer operating a police vehicle in an unsafe manner and they were treated with dismissive behavior by a sergeant while in the confines of the 26th District."
6/30/19,19-0325,2019-07-05 04:00:00+00,26,VERBAL ABUSE,"According to the complainant, on 6-30-19 at 2:00 PM, they were verbally abused by officers assigned to the 26th District."
6/30/19,19-0329,2019-07-09 04:00:00+00,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-30-19 at 12:00 PM, they did not receive proper service and were treated unprofessionally by officers assigned to the 26th District."
11/25/20,20-0610,2020-12-03 05:00:00+00,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-25-20 at 7:40 PM, they called police due to threats made against them by a roommate. When officers arrived, they mocked the complainant and were dismissive towards the complainant."
,18-0484,2018-10-03 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 26th District."
11/9/19,19-0680,2019-12-31 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 11-9-19 at 11:00 PM, they did not receive proper service from unknown officers assigned to the 9th District."
6/1/19,19-0384,2019-08-09 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-1-19 at 3:00 AM, officers assigned to the 26th District failed to follow departmental policies."
4/7/14,19-0388,2019-08-12 04:00:00+00,26,PHYSICAL ABUSE,"According to the complainant, on 4-7-14, they did not receive proper service and were physically abused by unknown officers while in the confines of the 22nd District."
11/10/18,18-0552,2018-11-16 05:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-10-18, they are missing property after being taken into police custody by officers assigned to the 26th District."
8/1/19,19-0429,2019-08-29 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-1-19 at 4:00 PM, their property was damaged and they were physically abused by unknown officers within the confines of the 26th District."
2/10/20,20-0070,2020-02-14 05:00:00+00,26,PHYSICAL ABUSE,"According to the complainant, on 2-10-20 at 5:00 PM, they were physically and verbally abused, falsely arrest and harassed by officers while in the confines of the 26th District."
2/14/20,20-0081,2020-02-20 05:00:00+00,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-14-20, an officer violated departmental policies while in the confines of the 35th District."
1/7/21,21-0016,2021-01-14 05:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-7-21 at 4:30 PM, while in the confines of the 26th District, an officer inaccurately completed police documents. The complainant states that they were involved in an auto accident. The officer arrived and was not concerned if anyone was injured. The officer was more concerned if the complainant¿s vehicle was a stolen vehicle and if they had any warrants. The complainant states that the officer issued them false citations stating that they were driving the wrong way, was in the wrong lane and listed the wrong location."
3/9/20,20-0125,2020-03-12 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-9-20 at 7:47 AM, departmental policies were violated by unknown officers in the confines of the 26th District."
2/2/19,19-0034,2019-02-06 05:00:00+00,26,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 2-2-19 at 9:00 am, they were racially profiled by officers assigned to the 26th District."
12/22/18,19-0041,2019-02-06 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 12-22-18 at 1:34 pm, they did not receive proper service from officers assigned to the 26th District."
4/12/22,22-0151,2022-04-18 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, the apartment building owner, on 4-12-22 at 8:30 PM, a resident of the apartment building kicked in the doors to another apartment, and then proceeded to vandalize and take items that did not belong to them. The complainant states that the officers not only watched the resident kick in doors, but also witnessed the resident vandalize property and steal but did nothing."
5/24/21,21-0263,2021-05-26 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 5-24-21 at 6:45 AM, while in the confines of the 26th District, they were attacked by an unknown person. The complainant called 911 and told the responding officer what happened. The individual was apprehended, but released and not charged. The officer told the complainant that because of someone from the District Attorney¿s Office, the individual would not be prosecuted. The officer also said that the individual did not have identification, seemed to be homeless and have a mental illness. The complainant¿s spouse arrived and caught the individual. The complainant called 911 again. When responding officers arrived, they told the complainant¿s spouse that they need to go to Arch Street to file a complaint. The complainant went to Arch Street and attempted to file a report, but was told that it was the responsibility of the officer on scene to have arrested the individual."
1/2/22,22-0002,2022-01-06 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 1-2-22 at 10:10 PM, while in the confines of the 26th District, a known individual broke into their condominium. The complainant states they have an active Protection From Abuse Order against this individual and that this is not the first time they have violated it. The complainant states that 911 has been called on several other occasions, besides this one, and that the offender is usually on location when officers arrive. The complainant states officers do not even try to take the offender into custody and allow them to walk or run away. The complainant states that they now fear for their safety."
1/6/22,22-0007,2022-01-10 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 1-6-22 at 8:15 PM, while in the confines of the 26th District, they were assaulted. The complainant states that after the assault, they flagged down an officer for help. The complainant states that the officer handed them a blank 48 and said, ¿fill this out and turn it in to the police district, I¿m taking a report now.¿ The complainant states they went home and filled out the 48. The next morning at 8:30 AM, while in the confines of the 3rd District, the complainant flagged down another officer for assistance, the officer told them to turn the 48 in at the 17th District."
1/7/22,22-0013,2022-01-19 05:00:00+00,26,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-7-22 at 2:45 AM, while in the confines of the 26th District, they parked their vehicle in a particular parking lot because they felt safe there. The complainant states that they are aware of recent carjacking incidents and therefore, chose that location because they felt safe. Two officers approached the complainant; one of the officers was rude, intimidating, condescending towards them, and did not allow them to explain why they parked there. The complainant further states that they felt as though their safety did not seem to be of concern to the officers."
4/30/22,22-0184,2022-05-04 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-30-22 at 11:38 PM, while in the confines of the 26th District, they were improperly stopped by a 26th District officer. They beeped their horn at a car that almost struck them. The complainant continued to drive. They noticed a police van activate their overhead lights. The complainant pulled over. The officer exited their vehicle and asked the complainant if there was a problem. The complainant asked the officer if they saw the vehicle that almost struck them. The officer said, ¿No. I heard you beeping, so I thought you were beeping at us.¿ The officer said that they thought something was wrong. The complainant states that when the officer realized they had no reason to pull them over, they began to inspect the vehicle, looking for a reason to ticket them. The complainant asked the officer for their badge number. The officer¿s partner snickered and said they did not ask for any information."
8/30/21,21-0582,2021-12-14 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 8-30-21, while in the confines of the 26th District, they did not receive proper service from a detective and an unknown officer. They attempted to file a domestic violence report. The responding officer took their report and was sympathetic. The complainant states once the officer realized that the offender was an officer¿s child, the officer changed their attitude. Later that same evening, a detective called them and informed them that they would not investigate the matter due to too much time that had passed to investigate the incident."
11/30/21,21-0593,2021-12-16 05:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-30-21 at 12:45 PM, they arrived at the 26th District with a ¿302¿ petition to have their student committed. The 26th District officers told them that they need to go to the 2nd District due to the student¿s home address. When the complainant went to the 2nd District, an officer told them that they needed to go to the 15th District. When the complainant went to the 15th District, they were informed that they needed to go back to the district of the student¿s residence."
1/19/22,22-0028,2022-01-27 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 1-19-22, two of their family members took their parent, who has dementia, from their home without permission. The complainant states that they also vandalized their parent¿s surveillance system. When officers arrived, they provided them with information about the situation but the report was still incorrectly prepared, with no mention of the vandalism. On 1-20-22, the complainant went to the 26th District and spoke to an officer who conducted a check on the well-being for them over the phone; not in person. The complainant then spoke to a supervisor and asked if they could prepare a vandalism report for their parent¿s surveillance system but they refused. The complainant states that police did not treat their situation with the urgency it warrants and that they are now left with their parent still missing."
2/25/22,22-0081,2022-03-03 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 2-25-22 at 9:30 PM, while in the confines of the 26th District, they called 911 because their neighbors refused to turn down their loud music. The complainant states that they were told that officers would be sent out but the loud music continued for hours."
1/26/22,22-0040,2022-02-02 05:00:00+00,26,VERBAL ABUSE,"According to the complainant, on 1-26-22 at 7:30 PM, while in the confines of the 26th District, one of the other tenants from their building called 911 because they were being threatened with physical harm by another tenant. The complainant states that when the officers arrived, they stayed outside and spoke to the tenant who threatened them, instead of coming inside to take their report. The complainant asked for a supervisor and when the supervisor arrived, they were rude to them. The complainant states that the supervisor had a rude and disrespectful attitude towards them."
1/27/22,22-0042,2022-02-01 05:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 1-27-22 at 5:00 PM, while in the confines of the 26th District, they were stalked by a neighbor. The complainant states that when they asked an officer to tell their neighbor to stop, the officer said that they will not pursue the neighbor or even speak to them unless they did something violent. The complainant states that because the officer refused to do anything, they called dispatch and they also did not care."
,21-0483,2021-10-13 04:00:00+00,26,PHYSICAL ABUSE,"According to the complainant, on an unspecified date, officers physically evicted them from their residence without any notice or court documentation."
4/14/21,21-0193,2021-04-27 04:00:00+00,26,LACK OF SERVICE,"While in the confines of 26th District, on 4-14-21 at 11:30 PM, the complainant witnessed a shooting and was made to identify the shooters by the officers. The officers let the shooters leave the scene and as they walked away, they threatened the complainant. The officer would not give the complainant any documentation or a report number, so that they could get a restraining order. The complainant states that the offenders came back later to retaliate against them, making them fear for their lives."
7/12/20,21-0386,2021-08-17 04:00:00+00,26,LACK OF SERVICE,"According to the complainant, on 7-12-20, while in the confines of the 26th District, a family member was struck and killed, as they were riding their motorcycle. The complainant states that the officer assigned to the accident did not file a complete and accurate report. The report does not have the witnesses¿ statements and the report does not document the accident as a hit and run, resulting in death. The complainant states that the officer told them that it was not a hit and run because the driver returned to the scene thirty minutes later."
1/14/20,22-0111,2022-03-23 04:00:00+00,26,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-14-20 at 7:30 PM, while in the confines of the 26th District, they were sitting in a family member¿s car and were approached by several officers, who had their guns drawn. The complainant and their family member were placed in handcuffs. The complainant states that they were searched and their firearm, which was legally registered, was taken from them. The officers on location told the complainant that they could not find a legal record for their firearm. The complainant states that while they were released, their family member was taken into custody and their firearm was not given back to them."
4/30/21,21-0216,2021-05-07 04:00:00+00,26,HARASSMENT,"According to the complainant, on 4-30-21 at 9:00 PM, they were harassed by an off-duty, 26th District Officer. The complainant states that they sent the officer a private message in regards to the officer¿s family member. The complainant states that the officer messaged them back, verbally harassed them and called them derogatory slurs. The complainant states that they then blocked the officer."
